1 2 3
1 -2 -3
-1 2 -3
-1 -2 3
-1 -2 -3
4 5 6
4 -5 -6
-4 5 -6
-4 -5 6
-4 -5 -6
7 8 9
7 -8 -9
-7 8 -9
-7 -8 9
-7 -8 -9
10 11 12
10 -11 -12
-10 11 -12
-10 -11 12
-10 -11 -12
13 14 15
13 -14 -15
-13 14 -15
-13 -14 15
-13 -14 -15
16 17 18
16 -17 -18
-16 17 -18
-16 -17 18
-16 -17 -18
1 4 7
1 -4 -7
-1 4 -7
-1 -4 7
-1 -4 -7
2 5 8
2 -5 -8
-2 5 -8
-2 -5 8
-2 -5 -8
3 6 9
3 -6 -9
-3 6 -9
-3 -6 9
-3 -6 -9
10 13 16
10 -13 -16
-10 13 -16
-10 -13 16
-10 -13 -16
11 14 17
11 -14 -17
-11 14 -17
-11 -14 17
-11 -14 -17
12 15 18
12 -15 -18
-12 15 -18
-12 -15 18
-12 -15 -18
-1
12
8
-1 10
-4 13
-7 16
